sample,world,spkdep,spkadapt,onehot,xvector,pvector,speaker_name
ffr0011_stimulis_0002,80,40,20,40,35,40,ffr0011
mfr0013_stimulis_0002,70,20,20,20,20,20,mfr0013
mfr0015_stimulis_0004,20,15,10,10,20,10,mfr0015
ffr0012_stimulis_0002,95,80,80,88,90,80,ffr0012
ffr0012_stimulis_0001,100,100,100,100,100,100,ffr0012
ffr0001_stimulis_0004,100,60,75,60,75,75,ffr0001
ffr0009_stimulis_0003,100,90,90,90,90,90,ffr0009
mfr0002_stimulis_0003,100,60,60,60,60,60,mfr0002
mfr0008_stimulis_0004,95,80,80,85,85,70,mfr0008
ffr0009_stimulis_0004,83,40,40,40,49,54,ffr0009
mfr0014_stimulis_0001,100,33,13,33,13,14,mfr0014
mfr0014_stimulis_0004,100,17,18,16,16,16,mfr0014
ffr0011_stimulis_0004,95,32,40,33,68,42,ffr0011
ffr0011_stimulis_0003,95,0,64,52,0,72,ffr0011
mfr0015_stimulis_0001,83,60,66,65,59,72,mfr0015
ffr0009_stimulis_0002,100,75,65,65,75,65,ffr0009
mfr0013_stimulis_0004,92,54,0,60,0,0,mfr0013
mfr0008_stimulis_0003,100,64,64,64,64,65,mfr0008
mfr0002_stimulis_0004,92,0,59,40,47,42,mfr0002
ffr0001_stimulis_0002,90,55,55,53,53,57,ffr0001
mfr0014_stimulis_0003,90,54,56,56,56,56,mfr0014
mfr0015_stimulis_0003,91,52,53,56,53,0,mfr0015
ffr0009_stimulis_0001,90,54,52,54,54,54,ffr0009
ffr0011_stimulis_0001,96,41,40,40,42,41,ffr0011
mfr0014_stimulis_0002,98,65,54,54,54,54,mfr0014
ffr0012_stimulis_0003,90,62,67,61,61,60,ffr0012
mfr0015_stimulis_0002,88,52,54,52,52,56,mfr0015
ffr0012_stimulis_0004,90,50,50,55,65,60,ffr0012
mfr0008_stimulis_0005,95,80,75,70,70,70,mfr0008
mfr0008_stimulis_0001,95,75,75,75,75,75,mfr0008
mfr0008_stimulis_0002,95,70,70,70,70,70,mfr0008
mfr0013_stimulis_0003,85,50,50,40,0,0,mfr0013
ffr0001_stimulis_0003,90,60,60,60,60,60,ffr0001
mfr0013_stimulis_0001,85,45,40,45,45,0,mfr0013
mfr0002_stimulis_0004,65,45,45,45,45,45,mfr0002
mfr0015_stimulis_0003,85,45,45,45,45,45,mfr0015
mfr0008_stimulis_0003,81,0,0,0,0,0,mfr0008
mfr0015_stimulis_0001,0,24,24,25,24,24,mfr0015
mfr0013_stimulis_0004,77,25,23,37,24,25,mfr0013
ffr0009_stimulis_0002,93,5,4,5,7,6,ffr0009
ffr0011_stimulis_0004,99,7,7,7,7,7,ffr0011
mfr0013_stimulis_0003,68,10,14,12,11,13,mfr0013
ffr0001_stimulis_0002,80,25,26,25,25,25,ffr0001
mfr0002_stimulis_0001,93,11,11,10,11,11,mfr0002
ffr0011_stimulis_0002,94,25,26,25,24,25,ffr0011
mfr0014_stimulis_0003,90,67,67,65,66,67,mfr0014
mfr0015_stimulis_0002,95,38,36,37,35,36,mfr0015
ffr0011_stimulis_0001,85,52,57,56,49,55,ffr0011
mfr0013_stimulis_0002,60,43,45,41,39,43,mfr0013
ffr0001_stimulis_0003,97,56,64,53,60,64,ffr0001
mfr0008_stimulis_0004,85,51,52,0,0,55,mfr0008
ffr0011_stimulis_0003,93,44,44,42,44,43,ffr0011
ffr0012_stimulis_0004,93,0,37,52,47,40,ffr0012
mfr0015_stimulis_0004,83,53,54,0,57,55,mfr0015
ffr0009_stimulis_0001,83,40,32,60,65,24,ffr0009
ffr0009_stimulis_0003,78,52,47,19,38,29,ffr0009
ffr0012_stimulis_0003,73,45,39,54,34,18,ffr0012
mfr0002_stimulis_0002,79,37,31,13,43,51,mfr0002
mfr0008_stimulis_0002,84,20,49,54,45,36,mfr0008
ffr0001_stimulis_0004,86,66,45,52,30,38,ffr0001
ffr0009_stimulis_0004,81,47,55,43,28,19,ffr0009
ffr0012_stimulis_0002,85,21,41,56,33,47,ffr0012
mfr0014_stimulis_0004,80,56,35,19,47,36,mfr0014
mfr0002_stimulis_0003,95,20,20,10,30,33,mfr0002
mfr0008_stimulis_0001,90,80,80,70,70,70,mfr0008
mfr0014_stimulis_0001,100,40,30,40,40,30,mfr0014
ffr0012_stimulis_0001,90,40,40,40,60,60,ffr0012
mfr0008_stimulis_0005,90,0,35,35,35,35,mfr0008
mfr0014_stimulis_0002,35,30,30,30,30,30,mfr0014
mfr0013_stimulis_0001,70,30,30,40,40,40,mfr0013
ffr0009_stimulis_0003,75,40,0,0,40,0,ffr0009
ffr0012_stimulis_0003,75,40,60,50,60,60,ffr0012
mfr0015_stimulis_0001,0,25,25,25,25,25,mfr0015
ffr0012_stimulis_0001,75,0,0,0,0,0,ffr0012
ffr0001_stimulis_0004,75,0,0,0,0,0,ffr0001
ffr0011_stimulis_0004,75,20,20,20,20,20,ffr0011
ffr0001_stimulis_0003,80,0,0,0,0,0,ffr0001
ffr0009_stimulis_0002,75,20,20,20,20,20,ffr0009
ffr0009_stimulis_0001,90,30,30,30,30,30,ffr0009
mfr0002_stimulis_0001,0,10,10,0,0,0,mfr0002
ffr0001_stimulis_0002,0,25,20,20,20,20,ffr0001
mfr0002_stimulis_0004,75,25,25,25,25,25,mfr0002
ffr0011_stimulis_0003,100,25,25,25,25,25,ffr0011
mfr0008_stimulis_0003,90,25,25,25,25,25,mfr0008
mfr0008_stimulis_0005,90,10,10,10,10,10,mfr0008
mfr0002_stimulis_0003,75,25,25,25,25,25,mfr0002
mfr0015_stimulis_0004,75,15,15,15,15,15,mfr0015
ffr0009_stimulis_0004,100,25,25,25,25,25,ffr0009
mfr0008_stimulis_0001,90,25,25,25,25,25,mfr0008
ffr0011_stimulis_0002,65,10,10,10,10,10,ffr0011
mfr0015_stimulis_0002,80,40,46,42,44,48,mfr0015
ffr0012_stimulis_0002,82,26,22,28,31,26,ffr0012
mfr0014_stimulis_0004,79,24,22,21,24,24,mfr0014
mfr0014_stimulis_0003,84,24,25,24,21,27,mfr0014
mfr0002_stimulis_0002,75,36,36,37,37,36,mfr0002
